anaali
anus
asshole
bitch
blowjob
dildo
ejakulaatio
erektio
esinahka
faggot
fagotti
fatass
fuck
fucking
himonussija
hinaaja
hinari
hinttari
hintti
horo
huora 
jakorasia
kassit
kikkeli
kulli
kyrpä
lumppu
lutka 
masturboida
mulkku
panomies
penis
perse
persereikä
persvako
pikkupillu
pillu
pillunaama
pillukarva
pyllyreikä
runkkari
runkku
römpsä
suihinotto
terska
terskannuppi
tussu
vagina
vittu
